sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_anotation,review_type,category
1,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,මේක මරු හැබැයි එබව්ට් එකේ තියෙන්නේ t900 ultra 2 kiyala හැබැයි හොදයි බැට්රිය දවස් 2 තියෙ thaks daraz❤️❤️,මේක මරු හැබැයි එබව්ට් එකේ තියෙන්නේ t900 ultra 2 kiyala හැබැයි හොදයි බැට්රිය දවස් 2 තියෙ thaks daraz❤️❤️,,Pure_Sinhala,electronic
2,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,super nice ඇතටම නියමයි කියන්න වචන නැ,super nice ඇතටම නියමයි කියන්න වචන නැ,,Pure_Sinhala,electronic
3,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,"🔥 මේක අනිවාර්යෙන්ම ගන්න. දවස් තුනෙන් ආවා. කියන්න කිසි වරදක් නෑ. පට්ටම වොච් එක features ගොඩක් තියෙනවා. ගොඩක් ලොකු නෑ අතට ගානට තියෙනවා.aniwarenma ganna.thank u daraz,seller❤️🔥👍","🔥 මේක අනිවාර්යෙන්ම ගන්න. දවස් තුනෙන් ආවා. කියන්න කිසි වරදක් නෑ. පට්ටම වොච් එක features ගොඩක් තියෙනවා. ගොඩක් ලොකු නෑ අතට ගානට තියෙනවා.aniwarenma ganna.thank u daraz,seller❤️🔥👍",,Pure_Sinhala,electronic
4,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,ගොඩක් හොදට පැක් කරල තිබුණා. කියන තරම් වරදකුත් නෑ .දවස් තුනෙන් ගෙදරටම ආවා. ගොඩක් හොඳ features තියනවා ගන්ට නියම බඩුව. I recommend this smart watch.,ගොඩක් හොදට පැක් කරල තිබුණා. කියන තරම් වරදකුත් නෑ .දවස් තුනෙන් ගෙදරටම ආවා. ගොඩක් හොඳ features තියනවා ගන්ට නියම බඩුව. I recommend this smart watch.,,Pure_Sinhala,electronic
5,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,දැන් මන් මාස 2ක් විතර පාවිච්චි කලා කිසිම අවුලක් නෑ. බැටරි එක දවස් 2ක් වගේ තියෙනවා.,දැන් මන් මාස 2ක් විතර පාවිච්චි කලා කිසිම අවුලක් නෑ. බැටරි එක දවස් 2ක් වගේ තියෙනවා.,,Pure_Sinhala,electronic
6,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,#win මේකනම් සුපිරි දවස් දෙකෙන් හම්බුනා,#win මේකනම් සුපිරි දවස් දෙකෙන් හම්බුනා,,Pure_Sinhala,electronic
7,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,patta watch ekk.supiri ganata watinw.kisi awlak nathuwa me seller gen buy karanna.seller quality,පට්ට වට්ච් එකක්.සුපිරි ගානට වටින්ව්.කිසි අව්ලක් නැතුව මේ සෙල්ලෙර් ගෙන් බුය් කරන්න.සෙල්ලෙර් කුඅලිත්ය,,Sinhala_in_English,electronic
8,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",4,watch එක ගොඩක් හොදයි.අවුලකට තියෙන්නේ වොච් එක ගැහුවට පස්සෙ රත් වෙනවා ගලවද්දි .ඒත් විනාඩියකින් විතර එක හරි යනවා.මොන වුනත් ගනට  සාධාරණයක් කරලා තියෙනවා.මං වොච් එකට මාර ආසයි.,watch එක ගොඩක් හොදයි.අවුලකට තියෙන්නේ වොච් එක ගැහුවට පස්සෙ රත් වෙනවා ගලවද්දි .ඒත් විනාඩියකින් විතර එක හරි යනවා.මොන වුනත් ගනට  සාධාරණයක් කරලා තියෙනවා.මං වොච් එකට මාර ආසයි.,,Pure_Sinhala,electronic
9,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",4,මට අද මේක හම්බුනේ මම මේක on කරද්දි on උන්නෑ ඊටපස්සෙ charge කරාට පස්සෙ on උනේ seller  ගොඩක් හොදය් highly recommended ❤️,මට අද මේක හම්බුනේ මම මේක on කරද්දි on උන්නෑ ඊටපස්සෙ charge කරාට පස්සෙ on උනේ seller  ගොඩක් හොදය් highly recommended ❤️,,Pure_Sinhala,electronic
10,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,deliver speed සුපිරි watch ekak supar 😘good selar.. ඔබත් අදම මිලදි ගන්න🥰🥰,deliver speed සුපිරි watch ekak supar 😘good selar.. ඔබත් අදම මිලදි ගන්න🥰🥰,,Pure_Sinhala,electronic
11,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,Excatly same as shown...Working well...Very fast Delivery...Recommend the seller...,ඒෂ්කත්ල්ය සමේ ඇස ශෝව්න්...වොර්කින්ග් වෙල්ල්...වෙර්ය් ෆස්ට් දෙලිවෙර්ය්...රෙචොම්මෙන්ඩ් තේ සෙල්ලෙර්...,,Sinhala_in_English,electronic
12,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,fast delivery නියම watch එක ගන්න එකෙකුට කියන්න තියෙන්නෙ ගනින්. මේක නියමයි bro. so thank you daraz.🤗🤗🤗🤗🤗🤗🤗🤗🤗,fast delivery නියම watch එක ගන්න එකෙකුට කියන්න තියෙන්නෙ ගනින්. මේක නියමයි bro. so thank you daraz.🤗🤗🤗🤗🤗🤗🤗🤗🤗,,Pure_Sinhala,electronic
13,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,"fsat shipping ,good product   mokak hari avulak thibunoth ikmaninin reply kranava  really good seller",ෆස්ට් ශිප්පින්ග්,,Sinhala_in_English,electronic
14,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,කිසි දේකට බයවෙන්න එපා.දවස් තුනෙන් ඕඩර් එකත් ආවා.WATCH එක මාරම QUALITY. I AM SO HAPPY.බය නැතුව ORDER කරන්න. RECOMMEND THIS SELLER!,කිසි දේකට බයවෙන්න එපා.දවස් තුනෙන් ඕඩර් එකත් ආවා.WATCH එක මාරම QUALITY. I AM SO HAPPY.බය නැතුව ORDER කරන්න. RECOMMEND THIS SELLER!,,Pure_Sinhala,electronic
