sentence_id,product_name,price,rating,review,cleaned_review,aspect,review_type,category
1,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,මේක මරු හැබැයි එබව්ට් එකේ තියෙන්නේ t900 ultra 2 kiyala හැබැයි හොදයි බැට්රිය දවස් 2 තියෙ thaks daraz❤️❤️,මේක මරු හැබැයි එබව්ට් එකේ තියෙන්නේ t900 ultra 2 kiyala හැබැයි හොදයි බැට්රිය දවස් 2 තියෙ thaks daraz❤️❤️,"{
(NULL, 'Overall Satisfaction', 'මේක මරු', positive),
('NULL', 'Product Quality', 'එබව්ට් එකේ තියෙන්නේ t900 ultra 2 kiyala', neutral),
('බැට්රිය', 'Battery Life', 'දවස් 2 තියෙ', positive),
(NULL, 'Overall Satisfaction', 'thaks daraz❤️❤️', positive)
}",Pure_Sinhala,electronic
2,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,super nice ඇතටම නියමයි කියන්න වචන නැ,super nice ඇතටම නියමයි කියන්න වචන නැ,"{ (NULL, 'Overall Satisfaction', 'super nice ඇතටම නියමයි කියන්න වචන නැ', positive) }",Pure_Sinhala,electronic
3,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,"🔥 මේක අනිවාර්යෙන්ම ගන්න. දවස් තුනෙන් ආවා. කියන්න කිසි වරදක් නෑ. පට්ටම වොච් එක features ගොඩක් තියෙනවා. ගොඩක් ලොකු නෑ අතට ගානට තියෙනවා.aniwarenma ganna.thank u daraz,seller❤️🔥👍","🔥 මේක අනිවාර්යෙන්ම ගන්න. දවස් තුනෙන් ආවා. කියන්න කිසි වරදක් නෑ. පට්ටම වොච් එක features ගොඩක් තියෙනවා. ගොඩක් ලොකු නෑ අතට ගානට තියෙනවා.aniwarenma ganna.thank u daraz,seller❤️🔥👍","{
(NULL, 'Overall Satisfaction', 'මේක අනිවාර්යෙන්ම ගන්න', positive),
(NULL, 'Delivery Experience', 'දවස් තුනෙන් ආවා', positive),
(NULL, 'Overall Satisfaction', 'කියන්න කිසි වරදක් නෑ', positive),
('වොච් එක', 'Performance', 'features ගොඩක් තියෙනවා', positive),
(NULL, 'Portability (Size & Weight)', 'ගොඩක් ලොකු නෑ අතට ගානට තියෙනවා', positive),
(NULL, 'Overall Satisfaction', 'aniwarenma ganna thank u daraz,seller❤️🔥👍', positive),

}",Pure_Sinhala,electronic
4,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,ගොඩක් හොදට පැක් කරල තිබුණා. කියන තරම් වරදකුත් නෑ .දවස් තුනෙන් ගෙදරටම ආවා. ගොඩක් හොඳ features තියනවා ගන්ට නියම බඩුව. I recommend this smart watch.,ගොඩක් හොදට පැක් කරල තිබුණා. කියන තරම් වරදකුත් නෑ .දවස් තුනෙන් ගෙදරටම ආවා. ගොඩක් හොඳ features තියනවා ගන්ට නියම බඩුව. I recommend this smart watch.,"{
(NULL, 'Packaging', 'ගොඩක් හොදට පැක් කරල තිබුණා', positive),
(NULL, 'Overall Satisfaction', 'කියන තරම් වරදකුත් නෑ', positive),
(NULL, 'Delivery Experience', 'දවස් තුනෙන් ගෙදරටම ආවා', positive),
('features', 'Performance', 'ගොඩක් හොඳ features තියනවා', positive),
(NULL, 'Overall Satisfaction', 'ගන්ට නියම බඩුව. I recommend this smart watch', positive)
}",Pure_Sinhala,electronic
5,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,දැන් මන් මාස 2ක් විතර පාවිච්චි කලා කිසිම අවුලක් නෑ. බැටරි එක දවස් 2ක් වගේ තියෙනවා.,දැන් මන් මාස 2ක් විතර පාවිච්චි කලා කිසිම අවුලක් නෑ. බැටරි එක දවස් 2ක් වගේ තියෙනවා.,"{
(NULL, 'Reliability', 'මාස 2ක් විතර පාවිච්චි කලා කිසිම අවුලක් නෑ', positive),
('බැටරි එක', 'Battery Life', 'දවස් 2ක් වගේ තියෙනවා', positive)
}",Pure_Sinhala,electronic
6,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,#win මේකනම් සුපිරි දවස් දෙකෙන් හම්බුනා,#win මේකනම් සුපිරි දවස් දෙකෙන් හම්බුනා,"{ (NULL, 'Delivery Experience', '#win මේකනම් සුපිරි දවස් දෙකෙන් හම්බුනා', positive) }",Pure_Sinhala,electronic
7,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,patta watch ekk.supiri ganata watinw.kisi awlak nathuwa me seller gen buy karanna.seller quality,පට්ට වට්ච් එකක්.සුපිරි ගානට වටින්ව්.කිසි අව්ලක් නැතුව මේ සෙල්ලෙර් ගෙන් බුය් කරන්න.සෙල්ලෙර් කුඅලිත්ය,"{
(NULL, 'Overall Satisfaction', 'පට්ට වට්ච් එකක්', positive),
('ගානට', 'Price / Value for Money', 'සුපිරි ගානට වටිනවා', positive),
(NULL, 'Overall Satisfaction', 'කිසි අව්ලක් නැතුව මේ seller ගෙන් buy කරන්න', positive),
('seller', 'Product Quality', 'seller quality', positive)
}",Sinhala_in_English,electronic
8,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",4,watch එක ගොඩක් හොදයි.අවුලකට තියෙන්නේ වොච් එක ගැහුවට පස්සෙ රත් වෙනවා ගලවද්දි .ඒත් විනාඩියකින් විතර එක හරි යනවා.මොන වුනත් ගනට  සාධාරණයක් කරලා තියෙනවා.මං වොච් එකට මාර ආසයි.,watch එක ගොඩක් හොදයි.අවුලකට තියෙන්නේ වොච් එක ගැහුවට පස්සෙ රත් වෙනවා ගලවද්දි .ඒත් විනාඩියකින් විතර එක හරි යනවා.මොන වුනත් ගනට  සාධාරණයක් කරලා තියෙනවා.මං වොච් එකට මාර ආසයි.,"{
('watch එක', 'Overall Satisfaction', 'ගොඩක් හොදයි', positive),
('වොච් එක', 'Performance Stability', 'ගැහුවට පස්සෙ රත් වෙනවා', negative),
('ගනට', 'Price / Value for Money', 'සාධාරණයක් කරලා තියෙනවා', positive),
('වොච් එක', 'Overall Satisfaction', 'මං වොච් එකට මාර ආසයි', positive)
}",Pure_Sinhala,electronic
9,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",4,මට අද මේක හම්බුනේ මම මේක on කරද්දි on උන්නෑ ඊටපස්සෙ charge කරාට පස්සෙ on උනේ seller  ගොඩක් හොදය් highly recommended ❤️,මට අද මේක හම්බුනේ මම මේක on කරද්දි on උන්නෑ ඊටපස්සෙ charge කරාට පස්සෙ on උනේ seller  ගොඩක් හොදය් highly recommended ❤️,"{
(NULL, 'Charging Speed', 'charge කරාට පස්සෙ on උනේ', neutral),
('seller', 'Overall Satisfaction', 'seller ගොඩක් හොදය්', positive),
(NULL, 'Overall Satisfaction', 'highly recommended ❤️', positive)
}",Pure_Sinhala,electronic
10,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,deliver speed සුපිරි watch ekak supar 😘good selar.. ඔබත් අදම මිලදි ගන්න🥰🥰,deliver speed සුපිරි watch ekak supar 😘good selar.. ඔබත් අදම මිලදි ගන්න🥰🥰,"{
(NULL, 'Delivery Experience', 'deliver speed සුපිරි', positive),
('watch ekak', 'Overall Satisfaction', 'supar 😘', positive),
('seller', 'Overall Satisfaction', 'good selar', positive),
(NULL, 'Overall Satisfaction', 'ඔබත් අදම මිලදි ගන්න🥰🥰', positive)
}",Pure_Sinhala,electronic
11,Smart Watch T900 Ultra 49mm Big 2.09 inch 2023 Smart watch Series 8 Reloj inteligence Heart rate BT Call T900 Ultra Smart watch,"Rs. 3,000",5,Excatly same as shown...Working well...Very fast Delivery...Recommend the seller...,ඒෂ්කත්ල්ය සමේ ඇස ශෝව්න්...වොර්කින්ග් වෙල්ල්...වෙර්ය් ෆස්ට් දෙලිවෙර්ය්...රෙචොම්මෙන්ඩ් තේ සෙල්ලෙර්...,"{
(NULL, 'Performance', 'working well', positive),
(NULL, 'Delivery Experience', 'very fast delivery', positive),
('seller', 'Overall Satisfaction', 'recommend the seller', positive)
}",Sinhala_in_English,electronic
