id,product_name,price,rating,review,cleaned_review,aspect_sentiment_annotation,review_type,category
1,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,බෝතලේ උඩ තියෙන ස්ටිකර් එක ගලවලා.ඇතුල මෙහෙම සීල් එක ගලවලා තිබ්බේ.. කූඹි හොදටම.. මම මීට දෙපාරකට කලින් ගත්ත ඒවා මෙහෙම තිබ්බෙ නැහැ..,බෝතලේ උඩ තියෙන ස්ටිකර් එක ගලවලා.ඇතුල මෙහෙම සීල් එක ගලවලා තිබ්බේ.. කූඹි හොදටම.. මම මීට දෙපාරකට කලින් ගත්ත ඒවා මෙහෙම තිබ්බෙ නැහැ..,"{
('ස්ටිකර් එක', 'Packaging Quality', 'ගලවලා', negative),
('සීල් එක', 'Packaging Quality', 'ගලවලා තිබ්බේ', negative),
('NULL', 'Food Safety', 'කූඹි හොදටම', negative)
}",Pure_Sinhala,grocery
2,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",3,850g kiyala tibbtata.750g ekak ewala tiyanne.😡 anith ewa nam aulak ne. මුඩියේ expire date එක මකලා.,ග්‍රෑම් 850 කියලා තිබ්බට ග්‍රෑම් 750 එකක් එවලා තියන්නේ. 😡 අනිත ඒවා නම් අවුලක් නැහැ. මුඩියේ expire date එක මකලා.,"{
(NULL, 'Size / Weight Accuracy', 'ග්‍රෑම් 850 කියලා තිබ්බට ග්‍රෑම් 750 එකක් එවලා තියන්නේ', negative),
('NULL', 'Overall Satisfaction', 'අවුලක් නැහැ', positive),
('expire date එක', 'Food Safety', 'මකලා', negative)
}",Pure_Sinhala,grocery
3,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,Gaanata waasi gdk. expire date 1ta kal tynawa gdk,ගානට වාසි ගදක්. expire date එකටත් කල් තියෙනවා ගොඩක්.,"{
('ගානට', 'Price / Value for Money', 'වාසි', positive),
(NULL, 'Aroma / Odor', 'ගදක්', negative),
('expire date එකටත්', 'Shelf Life', 'කල් තියෙනවා ගොඩක්', positive)
}",Code_Mixed,grocery
4,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,ස්තුතියි,ස්තුතියි,"{
(NULL, 'Overall Satisfaction', 'ස්තුතියි', positive)
}",Pure_Sinhala,grocery
5,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,මේ ගානටනම් මේක හොදටම වටිනවා මොකද shop එකකින් ගත්තත් මේක rs 4000 හෝ 5000 කට උඩින් තමයි ගන්න වෙන්නේ.තව කියනවා නම් මේකේ පැකින් නම් සුපිරි හොදටම පැක් කරල තියනවා thank you daraz❤️❤️❤️,මේ ගානටනම් මේක හොදටම වටිනවා මොකද shop එකකින් ගත්තත් මේක rs 4000 හෝ 5000 කට උඩින් තමයි ගන්න වෙන්නේ.තව කියනවා නම් මේකේ පැකින් නම් සුපිරි හොදටම පැක් කරල තියනවා thank you daraz❤️❤️❤️,"{
('ගානට', 'Price / Value for Money', 'හොදටම වටිනවා', positive),
('පැකින්', 'Packaging Quality', 'සුපිරි හොදටම පැක් කරල තියනවා', positive),
(NULL, 'Overall Satisfaction', 'thank you daraz❤️❤️❤️', positive)
}",Code_Mixed,grocery
6,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",3,"Original product එකක්, ඉක්මනට ship කලා, පැකින් එකත් හොදටම තිබ්බා..  එකම අවුල මේකෙ expire date එක මාස දෙකක් වගේ තිබ්බෙ,මේ වගේ ලොකු එකකට home use කරද්දි මාස දෙකක් මදි, මේක ගන්න ඉන්න කෙනෙක්නම් ඉක්මනටම පාවිච්චි කරලා ඉවර කරන්න බලන්න මොකද මාස දෙකක් තුනක් වගේ තමයි ඉතුරු වෙන්නෙ..  අනිත් ඔක්කොම හොදයි, මේකේ විස්තර වලට expire date විස්තරෙත් දැම්මනම් තව හොදයි  All Good but after 2 months this will be expired..consider it before buying.","Original product එකක්, ඉක්මනට ship කලා, පැකින් එකත් හොදටම තිබ්බා..  එකම අවුල මේකෙ expire date එක මාස දෙකක් වගේ තිබ්බෙ,මේ වගේ ලොකු එකකට home use කරද්දි මාස දෙකක් මදි, මේක ගන්න ඉන්න කෙනෙක්නම් ඉක්මනටම පාවිච්චි කරලා ඉවර කරන්න බලන්න මොකද මාස දෙකක් තුනක් වගේ තමයි ඉතුරු වෙන්නෙ..  අනිත් ඔක්කොම හොදයි, මේකේ විස්තර වලට expire date විස්තරෙත් දැම්මනම් තව හොදයි  All Good but after 2 months this will be expired..consider it before buying.","{
(NULL, 'Authenticity', 'Original product එකක්', positive),
(NULL, 'Customer Service', 'ඉක්මනට ship කලා', positive),
('පැකින් එක', 'Packaging Quality', 'හොදටම තිබ්බා', positive),
('expire date එක', 'Shelf Life', 'මාස දෙකක් වගේ තිබ්බෙ', negative),
(NULL, 'Overall Satisfaction', 'අනිත් ඔක්කොම හොදයි. All Good', positive),
('expire date විස්තරෙ', 'Customer Service', 'දැම්මනම් තව හොදයි', neutral)
}",Code_Mixed,grocery
7,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,ගුණාත්මක නිෂ්පාදන,ගුණාත්මක නිෂ්පාදන,"{
(NULL, 'Product Quality', 'ගුණාත්මක නිෂ්පාදන', positive)
}",Pure_Sinhala,grocery
8,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,good product good qulity .reccomended,"හොඳ product එකක්, quality එකත් හොඳයි. recommend කරන්න පුළුවන්.","{
(NULL, 'Product Quality', 'හොඳ product එකක්', positive),
('quality එක', 'Product Quality', 'හොඳයි', positive),
(NULL, 'Overall Satisfaction', 'recommend කරන්න පුළුවන්', positive)
}",Code_Mixed,grocery
9,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,"මම order කළේ 750g, හැබැයි මට ලැබුණේ 350g bottles 2ක්.","මම order කළේ 750g, හැබැයි මට ලැබුණේ 350g bottles 2ක්.","{
(NULL, 'Size / Weight Accuracy', 'order කළේ 750g, හැබැයි මට ලැබුණේ 350g bottles 2ක්', negative)
}",Pure_Sinhala,grocery
10,Nutella ( Quality & Delicious ) Hazelnut Chocolate Spread- 750g,"Rs. 4,700",5,Quality එක හොඳයි.,Quality එක හොඳයි.,"{
('Quality එක', 'Product Quality', 'හොඳයි', positive)
}",Code_Mixed,grocery
