sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_annotation,review_type,category
1,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,Godak hoda product ekak. damro 5yr warranty card ekath tiyanawa. store ekath hodai. best price #win,ගොඩක් හොඳ ප්‍රොඩක්ට් එකක්. ඩම්රෝ අවුරුදු 5ක වොරන්ටි කාඩ් එකත් තියනවා. ස්ටෝර් එකත් හොඳයි. බෙස්ට් ප්‍රයිස්,"{
(NULL, 'Product Quality', 'ගොඩක් හොඳ ප්‍රොඩක්ට් එකක්', positive),
(NULL, 'Overall Satisfaction', 'අවුරුදු 5ක වොරන්ටි කාඩ් එකත් තියනවා', positive),
(NULL, 'Overall Satisfaction', 'ස්ටෝර් එකත් හොඳයි', positive),
(NULL, 'Price / Value for Money', 'බෙස්ට් ප්‍රයිස්', positive)
}",Sinhala_in_English,home
2,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,දවස් 3ක් ඇතුළත ඩිලිවරි කළා. ඩම්රෝ අවුරුදු 5ක වොරන්ටි එකත් එක්ක ආවා.,දවස් 3ක් ඇතුළත ඩිලිවරි කළා. ඩම්රෝ අවුරුදු 5ක වොරන්ටි එකත් එක්ක ආවා.,"{
(NULL, 'Delivery & Packaging', 'දවස් 3ක් ඇතුළත ඩිලිවරි කළා', positive),
(NULL, 'Overall Satisfaction', 'අවුරුදු 5ක වොරන්ටි එකත් එක්ක ආවා', positive)
}",Pure_Sinhala,home
3,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,ගානට වටිනවා. විදුලිය වැයවෙන ප්‍රමාණයත් අඩුයි.,ගානට වටිනවා. විදුලිය වැයවෙන ප්‍රමාණයත් අඩුයි.,"{
('ගානට', 'Price / Value for Money', 'වටිනවා', positive),
(NULL, 'Energy Efficiency', 'විදුලිය වැයවෙන ප්‍රමාණයත් අඩුයි', positive)
}",Pure_Sinhala,home
4,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,product eka withing week ava..price eka godak hodai e vagema product ekath godak hodai..podi aulai tibbe washing machine eke horse eka tap ekata set karana thana hariyata na damage vela..mn eka sellerta kiuva eth tama respond ekak na..washing machine eka nam hodai godak..recommended seller..seller tava poddak customerslage prashna valata ikmanata respond karanna,ප්රෝදුච්ට් එක විතින්ග් වීක් අව..ප්රිචේ එක ගොඩක් හොදි ඒ වගේම ප්රෝදුච්ට් එකත් ගොඩක් හොදි..පොඩි ඖලි තිබ්බේ වශින්ග් මචිනේ එකේ හොර්සේ එක ටැප් එකට සෙට් කරන තැන හරියට න damage vela..mn eka sellerta kiuva eth tama respond ekak na..washing machine eka nam hodai godak..recommended seller..seller tava poddak customerslage prashna valata ikmanata respond karanna,,Sinhala_in_English,home
5,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,හොද බාන්ඩයකි. එය මට ඉක්මනින් ලැබුනා. ආරක්ශිතව එය නිවසටම ඔවුන් රැගෙන ආවා. ඇත්තටම ඒක මරු මැශිමක්.ඒ වගේම මට වර්ශ 5 ක වගකීම් සහතිකයත් ලැබුනා.,හොද බාන්ඩයකි. එය මට ඉක්මනින් ලැබුනා. ආරක්ශිතව එය නිවසටම ඔවුන් රැගෙන ආවා. ඇත්තටම ඒක මරු මැශිමක්.ඒ වගේම මට වර්ශ 5 ක වගකීම් සහතිකයත් ලැබුනා.,"{
(NULL, 'Product Quality', 'හොද බාන්ඩයකි', positive),
(NULL, 'Delivery & Packaging', 'ඉක්මනින් ලැබුනා', positive),
(NULL, 'Delivery & Packaging', 'ආරක්ශිතව නිවසටම රැගෙන ආවා', positive),
(NULL, 'Overall Satisfaction', 'මරු මැශිමක්', positive),
('වර්ශ 5 ක වගකීම් සහතිකය', 'Durability', 'ලැබුනා', positive)
}",Pure_Sinhala,home
6,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,kaden gannawata wada hodata thiyenawa..gedaratama genath dunna.. thanks for your team..,කඩෙන් ගන්නවට වැඩ හොදට තියෙනවා..ගෙදරටම ගෙනත් දුන්න.. තැන්ක්ස් ෆොර් යෝඋර් ටෙං..,"{
(NULL, 'Product Quality', 'වැඩ හොදට තියෙනවා', positive),
(NULL, 'Delivery & Packaging', 'ගෙදරටම ගෙනත් දුන්න', positive),
(NULL, 'Overall Satisfaction', 'තැන්ක්ස් ෆොර් යෝඋර් ටෙං', positive)
}",Sinhala_in_English,home
7,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",1,ඉල්ලපු  පාට නෙවෙයි  ලැබුනේ.seller ගෙන්  ඇහුවට  reply කරන්නේ නැහැ.,ඉල්ලපු  පාට නෙවෙයි  ලැබුනේ.seller ගෙන්  ඇහුවට  reply කරන්නේ නැහැ.,"(NULL, 'Design & Appearance', 'ඉල්ලපු පාට නෙවෙයි ලැබුනේ', negative),
('seller', 'Customer Service', 'reply කරන්නේ නැහැ', negative)
}",Pure_Sinhala,home
8,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",1,Free gift ekak denawa kiyaa boru kiwwa,ෆ්‍රී ගිෆ්ට් එකක් දෙනවා කියා බොරු කිව්වා,"(NULL, 'Delivery & Packaging', 'ෆ්‍රී ගිෆ්ට් එකක් දෙනවා කියා බොරු කිව්වා', negative)
}",Sinhala_in_English,home
9,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,"දවස් 3න් බඩු හම්බුනා, ඉල්ලපු එකම..","දවස් 3න් බඩු හම්බුනා, ඉල්ලපු එකම..","{
(NULL, 'Delivery & Packaging', 'දවස් 3න් බඩු හම්බුනා', positive),
}",Pure_Sinhala,home
10,Innovex 7Kg Fully Automatic Top Loading Washing Machine - IFA70S,"Rs. 80,500",5,wow..Thanks,වොව්..තැන්ක්ස්,"{
(NULL, 'Overall Satisfaction', 'වොව්..තැන්ක්ස්', positive)
}",Sinhala_in_English,home
