sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_annotation,review_type,category
1,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,ඉතා වේගවත් බෙදාහැරීමක් සහ නියම නිෂ්පාදනයක්! මේක ගන්න කලින් දෙපාරක් හිතන්න දෙයක් නැහැ 😁,ඉතා වේගවත් බෙදාහැරීමක් සහ නියම නිෂ්පාදනයක්! මේක ගන්න කලින් දෙපාරක් හිතන්න දෙයක් නැහැ 😁,"{
(NULL, 'Delivery Speed', 'ඉතා වේගවත්', positive),
(NULL, 'Product Quality', 'නියම නිෂ්පාදනයක්', positive),
(NULL, 'Overall Satisfaction', 'දෙපාරක් හිතන්න දෙයක් නැහැ', positive)
}",Pure_Sinhala,skincare
2,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,ඉතා උසස් තත්ත්වයේ පවතී. ගෙවන මුදලට ඉතා වටිනවා වගේම බෙදාහැරීමත් වේගවත්. ස්තූතියි දරාස් (Daraz)!,ඉතා උසස් තත්ත්වයේ පවතී. ගෙවන මුදලට ඉතා වටිනවා වගේම බෙදාහැරීමත් වේගවත්. ස්තූතියි දරාස් (Daraz)!,"{
(NULL, 'Product Quality', 'ඉතා උසස් තත්ත්වයේ', positive),
(NULL, 'Price / Value for Money', 'ගෙවන මුදලට ඉතා වටිනවා', positive),
(NULL, 'Delivery Speed', 'වේගවත්', positive)
}",Pure_Sinhala,skincare
3,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,"මෙය ඉතා හොඳයි, කිසිම බියක් නැතිව මිලදී ගත හැකියි, ස්තූතියි","මෙය ඉතා හොඳයි, කිසිම බියක් නැතිව මිලදී ගත හැකියි, ස්තූතියි","{
(NULL, 'Product Quality', 'ඉතා හොඳයි', positive),
(NULL, 'Overall Satisfaction', 'කිසිම බියක් නැතිව මිලදී ගත හැකියි', positive)
}
",Pure_Sinhala,skincare
4,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,මේ මගේ තුන්වෙනි order එක. ඇත්තටම සුපිරි original product එකක්. ගොඩාක් හොඳයි. ලොකු ගනන් දීල moisturizers පාවිච්චි කරනවාට වඩා මේක සෑහෙන්න වටිනවා. බොහොම ස්තූතියි. 👌❤️,මේ මගේ තුන්වෙනි order එක. ඇත්තටම සුපිරි original product එකක්. ගොඩාක් හොඳයි. ලොකු ගනන් දීල moisturizers පාවිච්චි කරනවාට වඩා මේක සෑහෙන්න වටිනවා. බොහොම ස්තූතියි. 👌❤️,"{
(NULL, 'Authenticity', 'original product එකක්', positive),
(NULL, 'Product Quality', 'ගොඩාක් හොඳයි', positive),
(NULL, 'Price / Value for Money', 'සෑහෙන්න වටිනවා', positive),
(NULL, 'Overall Satisfaction', 'සුපිරි', positive)
}",Pure_Sinhala,skincare
5,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,නිෂ්පාදනය ඉතා හොඳින් අසුරා තිබූ අතර කිසිදු හානියකින් තොරව ලැබුණි. හොඳ සහ වේගවත් බෙදාහැරීමේ සේවාවක්. දරාස් (Daraz) ආයතනයට සහ විකුණුම්කරුට ස්තූතියි.,නිෂ්පාදනය ඉතා හොඳින් අසුරා තිබූ අතර කිසිදු හානියකින් තොරව ලැබුණි. හොඳ සහ වේගවත් බෙදාහැරීමේ සේවාවක්. දරාස් (Daraz) ආයතනයට සහ විකුණුම්කරුට ස්තූතියි.,"{
(NULL, 'Packaging Quality', 'හොඳින් අසුරා තිබූ', positive),
(NULL, 'Delivery Condition', 'කිසිදු හානියකින් තොරව', positive),
(NULL, 'Delivery Speed', 'වේගවත්', positive)
}",Pure_Sinhala,skincare
6,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,කිසිම වැඩක් නෑ ගන්න එපා  මගේ ක්‍රීම් එකෙන් බාගයක් නෑ  කිසිම පරිස්සමක් නෑ ගන්න එපා අපරාදේ කප් එකත් කැඩිලා තිබ්බේ  ඩිලිවරි ත් පරක්කුයි,කිසිම වැඩක් නෑ ගන්න එපා  මගේ ක්‍රීම් එකෙන් බාගයක් නෑ  කිසිම පරිස්සමක් නෑ ගන්න එපා අපරාදේ කප් එකත් කැඩිලා තිබ්බේ  ඩිලිවරි ත් පරක්කුයි,"{
(NULL, 'Product Quality', 'කිසිම වැඩක් නෑ', negative),
(NULL, 'Packaging Quality', 'කිසිම පරිස්සමක් නෑ', negative),
('කප්', 'Packaging Quality', 'කැඩිලා', negative),
(NULL, 'Delivery Speed', 'පරක්කුයි', negative)
}",Pure_Sinhala,skincare
7,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,"මන් ඕඩර් කරපු දෙකම ලීක් වෙලා තිබ්බෙ  , එකක් පියන කැඩිලා, packing හොදට කරලා එව්ව් නම් හොදයි, Manufacture date aka 2023 තියෙන්නෙ, පරන එකක් එවලා තිබ්බෙ","මන් ඕඩර් කරපු දෙකම ලීක් වෙලා තිබ්බෙ  , එකක් පියන කැඩිලා, packing හොදට කරලා එව්ව් නම් හොදයි, Manufacture date aka 2023 තියෙන්නෙ, පරන එකක් එවලා තිබ්බෙ","{
(NULL, 'Delivery Condition', 'ලීක් වෙලා', negative),
('පියන', 'Packaging Quality', 'කැඩිලා', negative),
(NULL, 'Packaging Quality', 'හොදට කරලා නෑ', negative),
(NULL, 'Authenticity', 'පරණ එකක්', negative)
}",Pure_Sinhala,skincare
8,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,the smell is nice. the texture and the quality is amazing. this one is better than i expected. love it,සුවඳ ඉතා හොඳයි. මෙහි ස්වභාවය (Texture) සහ ගුණාත්මකභාවය විශිෂ්ටයි. මෙය මා බලාපොරොත්තු වූවාට වඩා හොඳයි. මම මෙයට ගොඩක් කැමතියි.,"{
(NULL, 'Scent / Fragrance', 'ඉතා හොඳයි', positive),
(NULL, 'Texture / Feel', 'විශිෂ්ටයි', positive),
(NULL, 'Product Quality', 'විශිෂ්ටයි', positive),
(NULL, 'Overall Satisfaction', 'බලාපොරොත්තු වූවාට වඩා හොඳයි', positive)
}",Pure_Sinhala,skincare
9,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,"ස්තූතියි දරාස් (Daraz), විකුණුම්කරු සහ කණ්ඩායමට.. ඇසුරුම ලැබුණා, මෙය විශිෂ්ට මිලදී ගැනීමක්! ඉතාමත් හොඳයි, මෙය මගේ දෙවන ඇණවුමයි...","ස්තූතියි දරාස් (Daraz), විකුණුම්කරු සහ කණ්ඩායමට.. ඇසුරුම ලැබුණා, මෙය විශිෂ්ට මිලදී ගැනීමක්! ඉතාමත් හොඳයි, මෙය මගේ දෙවන ඇණවුමයි...","{
(NULL, 'Overall Satisfaction', 'විශිෂ්ට මිලදී ගැනීමක්', positive),
(NULL, 'Product Quality', 'ඉතාමත් හොඳයි', positive),
(NULL, 'Overall Satisfaction', 'දෙවන ඇණවුම', positive)
}",Pure_Sinhala,skincare
10,Roushun 99% Aloe Vera Soothing Gel Face Moisturizer - 300ml,"Rs. 1,600",5,"මෙය විශාල ප්‍රමාණයේ භාජනයක්, ඇත්තටම ගෙවන මුදලට වටිනවා, සුවඳත් හරිම ප්‍රසන්නයි. බෙදාහැරීමත් වේගවත්. මම නැවතත් ඇණවුම් කිරීමට බලාපොරොත්තු වෙනවා. ස්තූතියි","මෙය විශාල ප්‍රමාණයේ භාජනයක්, ඇත්තටම ගෙවන මුදලට වටිනවා, සුවඳත් හරිම ප්‍රසන්නයි. බෙදාහැරීමත් වේගවත්. මම නැවතත් ඇණවුම් කිරීමට බලාපොරොත්තු වෙනවා. ස්තූතියි","{
(NULL, 'Capacity', 'විශාල ප්‍රමාණයේ', positive),
(NULL, 'Price / Value for Money', 'ගෙවන මුදලට වටිනවා', positive),
(NULL, 'Scent / Fragrance', 'ප්‍රසන්නයි', positive),
(NULL, 'Delivery Speed', 'වේගවත්', positive),
(NULL, 'Repurchase Intent', 'නැවතත් ඇණවුම් කිරීමට', positive)
}",Pure_Sinhala,skincare
